iter	Passed	Remaining
0	82	41024
1	172	42865
2	253	41932
3	337	41801
4	421	41758
5	502	41399
6	584	41164
7	667	41057
8	744	40626
9	834	40868
10	914	40648
11	991	40310
12	1076	40333
13	1157	40190
14	1243	40212
15	1321	39962
16	1462	41546
17	1562	41840
18	1637	41456
19	1725	41412
20	1807	41226
21	1889	41053
22	1972	40900
23	2051	40693
24	2131	40489
25	2214	40377
26	2295	40205
27	2374	40023
28	2453	39855
29	2531	39667
30	2611	39514
31	2696	39438
32	2787	39442
33	2863	39253
34	2948	39171
35	3025	38993
36	3106	38876
37	3182	38695
38	3264	38591
39	3346	38483
40	3420	38291
41	3499	38159
42	3581	38068
43	3661	37951
44	3736	37778
45	3814	37649
46	3888	37483
47	3967	37358
48	4050	37283
49	4128	37160
50	4205	37025
51	4296	37012
52	4390	37030
53	4482	37025
54	4564	36932
55	4655	36913
56	4744	36874
57	4848	36951
58	4933	36876
59	5021	36826
60	5106	36752
61	5189	36660
62	5284	36655
63	5377	36634
64	5470	36612
65	5560	36562
66	5650	36515
67	5763	36617
68	5851	36548
69	5944	36514
70	6029	36431
71	6115	36352
72	6204	36291
73	6287	36196
74	6369	36093
75	6451	35990
76	6526	35856
77	6601	35714
78	6683	35619
79	6763	35508
80	6842	35397
81	6925	35301
82	7003	35188
83	7081	35072
84	7158	34951
85	7233	34820
86	7307	34688
87	7386	34581
88	7464	34472
89	7544	34368
90	7614	34223
91	7689	34100
92	7769	34002
93	7848	33897
94	7928	33798
95	8008	33704
96	8088	33604
97	8168	33507
98	8245	33399
99	8324	33299
100	8421	33270
101	8506	33192
102	8585	33091
103	8666	32998
104	8747	32906
105	8841	32862
106	8909	32722
107	8992	32639
108	9087	32598
109	9195	32602
110	9289	32553
111	9368	32454
112	9454	32379
113	9546	32323
114	9622	32214
115	9699	32109
116	9786	32037
117	9866	31941
118	9951	31860
119	10034	31776
120	10119	31695
121	10205	31619
122	10284	31522
123	10365	31431
124	10448	31344
125	10525	31243
126	10607	31154
127	10684	31052
128	10760	30946
129	10848	30877
130	10940	30816
131	11009	30691
132	11088	30596
133	11173	30517
134	11252	30422
135	11326	30316
136	11404	30217
137	11480	30116
138	11558	30018
139	11634	29916
140	11716	29830
141	11792	29729
142	11875	29648
143	11953	29551
144	12030	29453
145	12113	29372
146	12194	29282
147	12272	29187
148	12353	29100
149	12432	29008
150	12507	28907
151	12580	28802
152	12662	28719
153	12735	28613
154	12818	28532
155	12909	28467
156	13030	28466
157	13147	28459
158	13288	28499
159	13390	28453
160	13496	28418
161	13585	28344
162	13691	28306
163	13775	28223
164	13856	28132
165	13938	28044
166	14018	27952
167	14101	27866
168	14177	27768
169	14259	27679
170	14336	27583
171	14419	27497
172	14503	27414
173	14572	27302
174	14652	27211
175	14733	27122
176	14810	27026
177	14895	26945
178	14993	26888
179	15086	26819
180	15182	26758
181	15329	26783
182	15427	26724
183	15562	26726
184	15647	26643
185	15738	26569
186	15838	26509
187	15944	26461
188	16090	26477
189	16208	26444
190	16383	26505
191	16499	26467
192	16621	26440
193	16731	26390
194	16846	26349
195	16951	26292
196	17062	26243
197	17158	26171
198	17290	26153
199	17395	26093
200	17497	26028
201	17589	25948
202	17669	25851
203	17760	25770
204	17846	25681
205	17925	25583
206	18005	25485
207	18084	25388
208	18160	25285
209	18253	25207
210	18341	25121
211	18433	25042
212	18520	24954
213	18601	24860
214	18679	24761
215	18758	24663
216	18838	24568
217	18923	24478
218	18995	24373
219	19074	24277
220	19163	24192
221	19251	24108
222	19358	24045
223	19442	23956
224	19532	23872
225	19616	23782
226	19699	23690
227	19784	23602
228	19859	23501
229	19934	23401
230	20012	23304
231	20084	23200
232	20154	23096
233	20239	23007
234	20339	22935
235	20435	22859
236	20543	22796
237	20632	22712
238	20718	22625
239	20816	22550
240	20906	22468
241	20991	22379
242	21073	22287
243	21154	22195
244	21238	22105
245	21324	22018
246	21436	21956
247	21542	21889
248	21625	21798
249	21713	21713
250	21792	21619
251	21887	21540
252	21978	21457
253	22065	21370
254	22152	21283
255	22237	21194
256	22339	21122
257	22448	21056
258	22558	20990
259	22659	20916
260	22758	20839
261	22853	20759
262	22954	20684
263	23045	20600
264	23132	20513
265	23225	20431
266	23306	20338
267	23397	20254
268	23484	20167
269	23580	20087
270	23669	20000
271	23772	19927
272	23873	19850
273	23972	19773
274	24089	19709
275	24196	19638
276	24297	19560
277	24394	19480
278	24489	19398
279	24574	19308
280	24651	19212
281	24730	19117
282	24807	19021
283	24882	18924
284	24963	18832
285	25038	18735
286	25115	18639
287	25193	18544
288	25273	18452
289	25350	18356
290	25430	18264
291	25516	18176
292	25598	18085
293	25674	17989
294	25748	17893
295	25820	17795
296	25892	17697
297	25968	17602
298	26040	17505
299	26116	17410
300	26194	17317
301	26269	17223
302	26337	17123
303	26412	17029
304	26491	16937
305	26562	16840
306	26636	16745
307	26710	16650
308	26794	16562
309	26863	16464
310	26943	16374
311	27020	16281
312	27093	16187
313	27167	16093
314	27253	16006
315	27337	15918
316	27418	15828
317	27493	15735
318	27567	15641
319	27645	15550
320	27714	15454
321	27787	15360
322	27861	15267
323	27937	15175
324	28008	15081
325	28085	14990
326	28155	14895
327	28225	14801
328	28301	14710
329	28381	14620
330	28449	14525
331	28520	14432
332	28604	14345
333	28673	14251
334	28749	14160
335	28825	14069
336	28901	13979
337	28979	13889
338	29053	13798
339	29131	13708
340	29210	13620
341	29287	13530
342	29376	13446
343	29456	13358
344	29531	13267
345	29606	13177
346	29682	13087
347	29752	12995
348	29829	12905
349	29908	12818
350	29986	12729
351	30062	12640
352	30143	12552
353	30216	12462
354	30290	12372
355	30376	12287
356	30455	12199
357	30530	12109
358	30601	12018
359	30678	11930
360	30757	11842
361	30828	11752
362	30901	11662
363	30978	11574
364	31051	11484
365	31127	11396
366	31208	11309
367	31278	11219
368	31354	11131
369	31427	11042
370	31500	10953
371	31581	10866
372	31650	10776
373	31723	10687
374	31802	10600
375	31873	10511
376	31972	10431
