Review,Food & Drinks Quality & Price,"General (Ambience, Entertainment, & Experience)",Service
"My wife and I ha great meal here.  While the seating area is tight the atmosphere and quality of food were excellent.  We had three glasses of wine, an appetizer and two entrees.  Pricing was excellent also, as we both were pleasantly surprised at overall cost.  Overall Good at great value, would definitely return.",Good,Good,
"Delicious food and atmosphere. 
We were very well served. 
The food was in the right place, the seafood fresh 
I recommend the experience",Good,Good,Good
My go to spot in Nyc for real Italian food. Food is always amazing and the servers are always friendly. Keep an eye open for their seasonal specials.,Good,,Good
"Tasty food, cozy atmosphere, we felt welcomed on a very cold day. Careful waiters, food came quick and hot. Danilo, our attendant, was very attentive, explained the dishes well and did not treat with affection.",Good,Good,Good
"Fast and very attentive service. Good and varied food. Very good desserts. Low price between 25 and 50. Recommended.
Warm and cozy place. Everyone speaks Spanish.",Good,Good,Good
"Piccola Cucina Estiatorio offers delicious Mediterranean dishes, fresh seafood, and warm service. A true NYC gem! 🐟🍷",Good,,Good
"Last night we went to this Italian place in soho, an Italian place run by real Italians.
One of the few places where you eat really well in nyc, if you are Italian a dinner here is a must.
Really excellent food, congratulations to Chef Joele.",Good,,
"Like so many restaurants, we came upon this by accident while searching for another place.  WOW!!  It was, by far, as good, if not better, than anywhere we've eaten in Italy. We loved everything about it: atmosphere, seating, menu choices, wine list, EVERYTHING.  If you're looking for AUTHENTIC ITALIAN food in New York City, don't look anywhere else.",Good,Good,
Great atmosphere. Wonderful service. Carlos and the rest of the staff were so kind and attentive. Would highly recommend coming here. I had the lasagna and it was one of the best I have had.,Good,Good,Good
The food here was excellent! Carlos and the rest of the Piccola Cucina staff were so great! I will absolutely be bringing family and friends back!!,Good,,Good
"Never misses! Excellent service, atmosphere and food. Impossible to leave NYC without this fantastic Sicilian culinary experience!!!",Good,Good,Good
"Authetic Italian cuisine in a funny and informal environment! If you want to eat real Italian food this is the place
Gioele is the best",Good,Good,
"The ambience and food were both impeccable. Danilo was our wonderful and kind waiter. Would recommend this restaurant to anyone!! 
Great for a birthday celebration ;)",Good,Good,Good
"I am 100% Italian and I can say that the restaurant is simply amazing!
Delicious sicilian plates! 
And Gabriele was amazing in serving us!",Good,,Good
"Excellent restaurant! We were very well served by Gabriel, impeccable food, every time I come now NY I make a question of having a dinner here 🙌🏻",Good,,Good
We had the BEST time! Gabriel was a wonderful guide to selecting items from the menu. There were so many amazing choices. We highly recommend the ossobucco ravioli and the Torta Setteveli (an absolutely delicious Sicilian chocolate cake) with 7 kinds of chocolate!!! Definitely order that if you a a chocolate fan!,Good,Good,Good
"Angelo was sincerely the best waiter I’ve had in New York City. He was attentive, kind, incredibly knowledgeable of the menu, food, and wine, and went above and beyond to provide an ideal dining experience. Not to mention, the food was incredible.",Good,Good,Good
"Nice green moment. Very good tasty and we use to eat Italian cuisine in Italy. The Chef and Angelo are very friendly.
Used to Italian cuisine, the legs have a new flavor for us. Fine cuisine and a service of great kindness. The Chef comes to advise us, in French, personally and ensures our well-being. Angelo our adorable waiter, sought to make efforts to speak us French. 
Thank you for this moment.",Good,Good,Good
"Incredible, high quality, fresh food. Amazing service, prompt, attentive. Very comfortable, relaxed atmosphere. 10/10!",Good,Good,Good
"I don’t reside in New York City, but I’ve been here twice now, and honestly, I have dreams about this pasta. It’s incredibly authentic, uncomplicated, and utterly delicious.",Good,,
"Fantastic cooked with heartfelt expertise. Do not miss this. Must recommend the seafood for its freshness, and the pasta’s that will leave you with a warmth and a smile.",Good,,
"Piccola Cucina’s experience was amazing! Got recommended by a local friend and it was definitely spectacular!
Dessert here hit the perfect ending note! Definitely come when you got a chance around the SOHO area!",Good,Good,
"I recommend Piccolo Cucina to anyone looking for great Italian food in lower Manhattan. This place has it all - excellent ambience, food, and service. Gabriel was a terrific server and made us feel so special. Definitely coming back here.",Good,Good,Good
It could not be better! Gabrielle was great and the food and the whole evening were fantastic! I recommend you  to go to Piccola Cucina. They will not dissapoint you! Everything was GREAT!,Good,Good,Good
Amazing food and atmosphere. Quite loud. The pasta is incredible and the wine selection very big. A definitely going back restaurant!!,Good,Good,
"Our family of four had lunch at this restaurant during our shopping in SoHo. The food was authentic and delicious, the staff very friendly and helpful. Prices are appropriate and reflect the quality of food (in fact, although this is not a cheap place, it does provide a good value for money).",Good,,Good
