Review,Food & Drinks Quality & Price,"General (Ambience, Entertainment, & Experience)",Service
wife ha great meal seating area tight atmosphere quality food excellent three glass wine appetizer two entree price excellent also pleasantly surprised overall cost overall good great value would definitely return,Good,Good,
delicious food atmosphere well serve food right place seafood fresh recommend experience,Good,Good,Good
go spot nyc real italian food food always amazing server always friendly keep eye open seasonal special,Good,,Good
tasty food cozy atmosphere feel welcome cold day careful waiter food come quick hot danilo attendant attentive explain dish well treat affection,Good,Good,Good
fast attentive service good varied food good dessert low price 25 50 recommend warm cozy place everyone speak spanish,Good,Good,Good
piccola cucina estiatorio offer delicious mediterranean dish fresh seafood warm service true nyc gem,Good,,Good
last night go italian place soho italian place run real italian one place eat really well nyc italian dinner must really excellent food congratulation chef joele,Good,,
like many restaurant come upon accident search another place wow far good well anywhere eat italy love everything atmosphere seat menu choice wine list everything look authentic italian food new york city look anywhere else,Good,Good,
great atmosphere wonderful service carlos rest staff kind attentive would highly recommend come lasagna one good,Good,Good,Good
food excellent carlos rest piccola cucina staff great absolutely bring family friend back,Good,,Good
never miss excellent service atmosphere food impossible leave nyc without fantastic sicilian culinary experience,Good,Good,Good
authetic italian cuisine funny informal environment want eat real italian food place gioele good,Good,Good,
ambience food impeccable danilo wonderful kind waiter would recommend restaurant anyone great birthday celebration,Good,Good,Good
100 italian say restaurant simply amazing delicious sicilian plate gabriele amazing serve we,Good,,Good
excellent restaurant well serve gabriel impeccable food every time come ny make question dinner,Good,,Good
good time gabriel wonderful guide select item menu many amazing choice highly recommend ossobucco ravioli torta setteveli absolutely delicious sicilian chocolate cake 7 kind chocolate definitely order chocolate fan,Good,Good,Good
angelo sincerely good waiter new york city attentive kind incredibly knowledgeable menu food wine go beyond provide ideal dining experience mention food incredible,Good,Good,Good
nice green moment good tasty use eat italian cuisine italy chef angelo friendly use italian cuisine leg new flavor we fine cuisine service great kindness chef comes advise we french personally ensure well angelo adorable waiter sought make effort speak we french thank moment,Good,Good,Good
incredible high quality fresh food amazing service prompt attentive comfortable relaxed atmosphere 10 10,Good,Good,Good
reside new york city twice honestly dream pasta incredibly authentic uncomplicated utterly delicious,Good,,
fantastic cook heartfelt expertise miss must recommend seafood freshness pasta leave warmth smile,Good,,
piccola cucina experience amazing get recommend local friend definitely spectacular dessert hit perfect end note definitely come get chance around soho area,Good,Good,
recommend piccolo cucina anyone look great italian food low manhattan place excellent ambience food service gabriel terrific server make we feel special definitely come back,Good,Good,Good
could well gabrielle great food whole evening fantastic recommend go piccola cucina dissapoint everything great,Good,Good,Good
amazing food atmosphere quite loud pasta incredible wine selection big definitely go back restaurant,Good,Good,
family four lunch restaurant shopping soho food authentic delicious staff friendly helpful price appropriate reflect quality food fact although cheap place provide good value money,Good,,Good
great food service love atmosphere quality food spaghetti cacio e pepe 3 dessert fantastic,Good,Good,Good
amazing food amazing environment get three pasta amazing way love cacio e pepe happy decision,Good,Good,
excellent food service authentic italian offer delicious pasta al dente also good variety seafood danilo service great,Good,,Good
look good italian restaurant ny go small kitchen top food top staff gabriele super friendly professional sicilian go book seat,Good,,Good
excellent place excellent service especially sicilian waiter gabriele recommend everyone,,Good,Good
find lunch wife wonderful place say serve really excellent dish want congratulate gabriele really guy full expertise management servizio ci tornarò consigli highly,Good,Good,Good
